2026-05-16 11:21:17,596 INFO Progress: 222/503 | [GPN] Global Payments (Financials)
2026-05-16 11:21:17,596 INFO [GPN] Starting pipeline...
2026-05-16 11:21:17,597 INFO [GPN] 10-K already downloaded
2026-05-16 11:21:17,597 INFO [GPN] Extraction already done
2026-05-16 11:22:41,509 INFO [GPN] ✓ Pipeline complete
2026-05-16 11:22:43,513 INFO Progress: 223/503 | [GL] Globe Life (Financials)
2026-05-16 11:22:43,513 INFO [GL] Starting pipeline...
2026-05-16 11:22:43,514 INFO [GL] 10-K already downloaded
2026-05-16 11:22:43,514 INFO [GL] Extraction already done
2026-05-16 11:24:00,518 INFO [GL] ✓ Pipeline complete
2026-05-16 11:24:02,522 INFO Progress: 224/503 | [GDDY] GoDaddy (Information Technology)
2026-05-16 11:24:02,523 INFO [GDDY] Starting pipeline...
2026-05-16 11:24:02,523 INFO [GDDY] 10-K already downloaded
2026-05-16 11:24:02,523 INFO [GDDY] Extraction already done
2026-05-16 11:25:15,981 INFO [GDDY] ✓ Pipeline complete
2026-05-16 11:25:17,988 INFO Progress: 225/503 | [GS] Goldman Sachs (Financials)
2026-05-16 11:25:17,988 INFO [GS] Starting pipeline...
2026-05-16 11:25:17,988 INFO [GS] 10-K already downloaded
2026-05-16 11:25:17,988 INFO [GS] Extraction already done
2026-05-16 11:26:38,789 INFO [GS] ✓ Pipeline complete
2026-05-16 11:26:40,794 INFO Progress: 226/503 | [HAL] Halliburton (Energy)
2026-05-16 11:26:40,794 INFO [HAL] Starting pipeline...
2026-05-16 11:26:40,794 INFO [HAL] 10-K already downloaded
2026-05-16 11:26:40,794 INFO [HAL] Extraction already done
2026-05-16 11:27:48,804 INFO [HAL] ✓ Pipeline complete
2026-05-16 11:27:50,813 INFO Progress: 227/503 | [HIG] Hartford (The) (Financials)
2026-05-16 11:27:50,813 INFO [HIG] Starting pipeline...
2026-05-16 11:27:50,814 INFO [HIG] 10-K already downloaded
2026-05-16 11:27:50,814 INFO [HIG] Extraction already done
